Layer,Name,GEOID,Population,Longitude,Latitude,alzheimers,female_breast_cancer,cancer,coronary_heart_disease,diabetes,diet_related,heart_disease,lung_and_bronchus_cancer,stroke,tobacco_related,years_lost
Community area,Lincoln Park,7,63433,-87.649491,41.922696,34.2,24.4,156.7,72.2,17.3,249.8,147.8,31,48.1,206.6,1695
Community area,Ashburn,70,41280,-87.708363,41.745756,38.3,29.9,221.4,105.5,25.5,359.4,210.9,52.5,59.8,298.9,7702
Community area,Auburn Gresham,71,44959,-87.656305,41.744203,25.7,39.5,217.5,111.1,31.9,405.3,246.7,49.8,66,300.7,13089
Community area,Beverly,72,19950,-87.675072,41.713148,27.1,26.1,178.4,89.4,15.4,282.1,185.7,39,40.7,227.6,6038
Community area,Washington Heights,73,25075,-87.648897,41.717495,42.1,28.6,201.6,101.1,36.6,365.9,228.1,50.5,65.8,286.5,13098
Community area,Mount Greenwood,74,18633,-87.713189,41.694876,33,15.6,194.4,119.1,16.7,345.6,253.8,65.6,51.6,310.1,5953
Community area,Morgan Park,75,21714,-87.669062,41.689729,38.5,34.1,198.4,113.5,23.3,383.3,250,50.3,68.1,284.8,9918
Community area,O'Hare,76,14416,-87.893699,41.975696,10.6,20.5,180.8,74,14.9,257.9,159.2,40.3,44.8,233.7,4673
Community area,Edgewater,77,47343,-87.663419,41.986719,18.5,26.1,158.7,102,19.1,270.3,199.1,27.8,30.1,227.9,5853
Community area,Near North Side,8,95467,-87.633318,41.899611,17.8,22.9,143.7,52.3,8.2,184.2,131.6,28.1,28.5,165.9,2538
Community area,Edison Park,9,11521,-87.81378,42.007627,15.2,13.9,117.1,97.1,6.8,243.2,177.7,19.2,36,182.5,2874
